type=MATCHED_CLUSTER_SPEC
shardName=az-uaenorth
total=753
# of orgs=7
# of pipelines=278

OrgIds details:
3967149302607967: 576
1483145214650205: 100
3951039198747713: 50
6399075001291443: 10
5478414819888037: 8
8360868424492858: 6
6035395601979077: 3

PipelineIds details:
c9077845-1e04-404a-b595-8bd0917160c9: 48
fd27a6c9-cee9-45de-9a63-b6ac7a2ea6f8: 16
500924fc-79b4-4e82-9192-5525c46a51c0: 16
2fab7b83-0e24-4eb0-8c30-5b00efcca0eb: 16
e05247a2-bc58-486a-85c2-48b35a901256: 16
ae22c614-ae3c-4f77-893d-ed59f076135b: 15
b0d98b05-bba6-4eef-9c2c-42e41ab721c3: 13
462ff261-a4f7-4f97-835b-b7af1b6b767a: 13
ebe5da2d-ef0e-4649-9661-f8757ec54f7e: 11
15e97e0f-b8de-4075-b0ea-01d8cebdf747: 8
5832fc76-3837-4d24-b4a2-cda6f4fd3c6b: 8
6fb5a0f7-03ad-4caa-ae93-3b5387900b4e: 8
c4c495ce-f662-4e2a-8565-b94ad028693b: 7
85cdc8f9-3a43-4113-828b-ee4e4ce953cf: 7
aef88501-0fbd-4199-98f5-42e5077c047d: 7
ec0b688c-24c0-4f5c-9a9c-dc5f1489f333: 7
6001073f-d73c-49f6-9436-a688865a3fe9: 6
9b2dc55d-97d1-495c-90d7-9a8841290610: 6
809d7c4e-f6e3-42fa-b916-d16638ab7c90: 4
9cb2b4ac-06f2-4184-8555-de2f8cd28554: 4
7917f454-10b0-4bfb-a508-953f382bf0a8: 3
6e68cb3f-5435-4a63-9de6-0cbf51ccfba5: 3
686a200b-1040-4574-af8d-b6a73d4cbcfe: 3
5f31b5f6-d5c0-455a-bd34-b8b94f207edb: 3
fb9dddab-4fad-4315-b5f6-fb172d06e4c2: 3
94a8dd50-286c-4b63-879b-3f36a8352165: 3
1865f538-8035-4ad5-8279-ec4919b31ea9: 3
d6d56550-644e-4756-a23a-eedc84aed507: 3
d0a8fba9-603c-46f4-80e9-8c0d9c09eef8: 3
b96d8b36-3212-4db0-b781-0571984232cc: 3
bc3e4940-ae56-4b56-82b9-377738e6033c: 2
fec4c00e-b23f-4958-af51-cdb9d7336f07: 2
4a4b6d35-0766-4be5-896f-5e8548bf7808: 2
4999d499-c104-49a5-8978-f90449934ae7: 2
6110cb14-ce64-4873-aa85-402389e869b7: 2
1b1e402b-3da4-4608-9b21-8bdbf8c1d92c: 2
7b66ec6a-f732-4a47-82c7-2fdaddea55d1: 2
fd31e1a5-d7f0-49d9-9e9a-1fcc79273515: 2
e650d06b-4894-4a75-8f61-d08153bc2adf: 2
ca4dff86-8fb5-4322-9dba-10c75bd5994f: 2
fc338fe5-ec63-470b-9ec7-68b9aa9854c6: 2
dc63c595-9c63-483c-b0d2-1f387974374e: 2
8b5977cc-10bd-45f0-afdd-aafee5e4c5f6: 2
ecf1bbb0-dfcc-4d49-b00a-a002d11d4e50: 2
32ed3708-c9f5-4cb7-9aeb-4d2b33873676: 2
3d09e7e7-1339-4771-9a35-0d44d2a6cb50: 2
9965ca29-b05c-4ada-99b9-dbcabb008425: 2
6573fc42-0d22-4182-aa63-d49cad30b902: 2
bae85c22-488e-4200-b91c-a5f6926d316d: 2
e73a88c3-b543-4b48-a4f5-f5e8f7350242: 2
d7e3fd43-6b35-4dc3-8044-a56ed237bf4f: 2
8cee1be8-6553-4a65-b2d9-46152bfff841: 2
5f1f8600-40f4-4ed6-9345-4ca1fc079b78: 2
ceffddf1-4a05-4ae1-ad97-d9a48e6cb7c0: 2
39a59bc7-3489-4419-9114-e19af3f659c9: 2
e49d5763-6274-4323-91dd-375b66815864: 2
84da54cc-5cd8-4bd7-8fba-1ec15580af75: 2
3e42f1a6-07c0-4e7a-b48d-95aef9d129a1: 2
94d66a54-d68c-4260-ba6f-be72398b548e: 2
7569fb01-2b01-4b34-bb69-9eb0c56c2024: 2
224dbe6e-3ded-4e64-8e82-826d93daa236: 2
6c9adfd9-4d2b-45d2-8c52-ee5b3c3a81ea: 2
3206049f-89f5-4506-ad42-1dc9d02391f0: 2
f56cedcd-9fee-433c-8698-9bd7c6444243: 2
78cfc796-6041-4177-84a2-5b497fc1c7e8: 2
94afb290-08cb-4b5c-a682-574cb846c8a4: 2
dff4a0f9-47f2-42ab-811b-71fa81a67dbf: 2
f608451b-41bf-484d-b68c-03d10e89258b: 2
b71b1ee1-00d5-4234-abdb-bcef0577ede3: 2
dabb0293-0915-4850-8420-4ca2761a6ebb: 2
64b21e03-23d9-4160-aa97-a8f5f9804b7a: 2
8489f72f-064f-4a08-9b05-fc954da3386b: 2
1da0ff35-5840-469b-9d00-8117ea6242e1: 2
ffc896f6-5b5e-40cf-8bfa-88f0292e283a: 2
afd93499-d76d-4d00-8578-48b514f63b7a: 2
57ca7340-3bfe-4285-9144-d33f8900cf5d: 2
c9ef3689-39d1-4bba-a3f3-9cb8015fbd27: 2
59c11315-d4de-4489-afce-dcdd02a3f1a1: 2
c4d0ef22-e62b-4637-9288-8a89521a79bd: 2
87c65b1d-5682-47cc-a427-9b8d8cbb63a6: 2
40cace57-db04-4ea2-bb43-2bce25f837fb: 2
95b5a368-f653-4818-90f4-37dff0583dba: 2
fb8a7401-2253-4ae7-9a33-a7b72e948692: 2
f17145f5-5f96-4aef-a2b3-a1f6e303a60c: 2
542b9d3a-7e0e-4e30-97b7-e12f24c1027e: 2
f8e62752-d630-410d-bdce-60e72532e8d2: 2
63fafb1a-7f4e-4c4a-a82b-cc59cc5cbcd2: 2
c7de196a-f2cd-4f08-9677-d4e3057cea93: 2
97ea9f02-4a41-4c6e-bd12-dcbd8372d6e3: 2
6e2ab97b-a90e-4392-b327-846593c4fa30: 2
