type=MATCHED_CLUSTER_SPEC
shardName=frankfurt-prod
total=1565
# of orgs=48
# of pipelines=171

OrgIds details:
3237995940177058: 296
1782382280407890: 289
1092802730141220: 138
6048666345394904: 129
3342559271491742: 128
3726185482832627: 108
2702638365225606: 66
1640088591173271: 54
868071624972097: 44
1654890064386735: 38
1719067841244831: 31
4318766018269722: 28
4252556744508426: 24
1696321689040938: 18
2685021439311694: 15
5811249146401447: 14
1343738962188738: 13
3811926932512821: 13
4311507526411502: 10
823295813509652: 9
3993204435742857: 8
2344522291226612: 8
2747232740003655: 7
7591496847284648: 7
7067522855812878: 6
620729266089193: 6
6170758738902099: 5
1204336991603952: 5
7696186279353815: 4
3494852674143240: 4
3980984933902805: 4
2706035293512233: 4
130366328373133: 4
136585410090887: 4
770800596000477: 3
340410490904484: 2
3060533928491679: 2
5970532163368727: 2
1551107841472997: 2
1016709475060998: 2
1380867552058437: 2
1041533721990184: 2
3076620110729139: 2
1771605493232467: 1
3100806490219078: 1
3322276214621222: 1
4352079130544164: 1
4873297090913319: 1

PipelineIds details:
9dd8827e-fb11-450b-ba9b-1047b546e6df: 289
9b69bc12-3cc3-40af-b932-42fdbcd8ec95: 129
ffad2152-fe84-4b53-a079-45364a69cd85: 104
9ee0411a-7c31-4507-a708-c867d743da25: 48
a4288868-89a6-453f-9a38-4914171b8702: 48
6b386b5c-9a77-48d5-8401-c52e31b3d3c2: 48
2f852334-9ec3-4e78-9147-d74ec20c3443: 48
81731c0e-650d-419f-a309-a8bf0a763164: 48
1764d37f-746d-4fa6-81b3-560c27f9b540: 44
b93ac982-30e7-4b3b-afbd-a9dd4e9785b8: 42
6e1f41df-fa52-4297-a9a6-eeef317bb8a3: 42
bab7e985-82bb-4393-804b-fa78b2e343c3: 42
833b9eec-cc90-4421-9217-9f905f3019db: 30
30e38874-bba8-431e-bd04-4a654d94fcab: 30
3002401d-f9c8-4e2c-9c62-284798228338: 28
e087501d-4c3b-4b65-9105-187f044ee651: 27
7c576919-db22-47d0-9938-4a5ea5f48fe7: 24
b94f37e5-3b78-4a8d-8f4a-f29ddeb59c3c: 16
